manuscript_id	detagged_id	standard_id	short_id
doi:10.1016/j.websem.2012.08.001	doi:10.1016/j.websem.2012.08.001	doi:10.1016/j.websem.2012.08.001	UXqEXKOT
doi:10.1017/S1049096518002093	doi:10.1017/S1049096518002093	doi:10.1017/s1049096518002093	19JOFNsW
doi:10.1038/530148a	doi:10.1038/530148a	doi:10.1038/530148a	PZA0cOT1
doi:10.1038/d41586-019-02795-y	doi:10.1038/d41586-019-02795-y	doi:10.1038/d41586-019-02795-y	cWKgmoXZ
doi:10.1080/1047840X.2012.692215	doi:10.1080/1047840X.2012.692215	doi:10.1080/1047840x.2012.692215	9vdtIXfz
doi:10.1126/science.aay2091	doi:10.1126/science.aay2091	doi:10.1126/science.aay2091	dzUWx591
doi:10.1371/journal.pcbi.1005962	doi:10.1371/journal.pcbi.1005962	doi:10.1371/journal.pcbi.1005962	DGlWGDEt
doi:10.1371/journal.pone.0223116	doi:10.1371/journal.pone.0223116	doi:10.1371/journal.pone.0223116	ISRH1Pz2
doi:10.1515/9781400839452	doi:10.1515/9781400839452	doi:10.1515/9781400839452	1DiVJ3t6P
doi:10.18352/lq.10280	doi:10.18352/lq.10280	doi:10.18352/lq.10280	SktICFA9
doi:10.31222/osf.io/et8ak	doi:10.31222/osf.io/et8ak	doi:10.31222/osf.io/et8ak	16H8Gdlkx
doi:10.7287/peerj.preprints.27809v1	doi:10.7287/peerj.preprints.27809v1	doi:10.7287/peerj.preprints.27809v1	dyi21la4
url:http://www.paywallwatch.com/	url:http://www.paywallwatch.com/	url:http://www.paywallwatch.com/	1PFYyBLC
url:https://blog.dhimmel.com/history-of-delays/	url:https://blog.dhimmel.com/history-of-delays/	url:https://blog.dhimmel.com/history-of-delays/	MFEDhALN
url:https://blog.joss.theoj.org/2019/06/cost-models-for-running-an-online-open-journal	url:https://blog.joss.theoj.org/2019/06/cost-models-for-running-an-online-open-journal	url:https://blog.joss.theoj.org/2019/06/cost-models-for-running-an-online-open-journal	18R6gqjc1
